Scene_ID,Character,Dialogue,Scene_Description,Metadata
0.0,,,,Star Trek Nemesis
0.0,,,,Stardate: 56844.9
0.0,,,,"Original Airdate: Jan 3, 2003"
0.0,,,,
1.0,,,[Romulan Senate building],TITLE CREDIT
1.0,SURAN (OC),"Senators, consider the opportunities for the Empire. At last the destinies of the planets, Romulus and Remus, will be united. Shinzon of Remus is offering us a chance to make ourselves stronger...",[Romulan Senate building],ROMULAN IMPERIAL SENATE
2.0,,,[Romulan Senate chamber],
2.0,SURAN,...than ever before. It would be madness to resist it. I beg you to not let prejudice or politics interfere with this alliance. By joining Shinzon's forces with ours not even the Federation will be able to stand in our way.,[Romulan Senate chamber],
2.0,HIREN,That's enough! The decision has been made. The military does not dictate policy on Romulus.,[Romulan Senate chamber],
2.0,,,[Romulan Senate chamber],
2.0,HIREN,The Senate has considered Shinzon's proposal and rejected it. He and his followers will be met with all deliberate force and sent back to that black rock they come from. Do I make myself clear!,[Romulan Senate chamber],
2.0,COMMANDER #2,Yes sir.,[Romulan Senate chamber],"(a female senator, Tal'aura, looks down at a red circular box on the table in front of her)"
2.0,,,[Romulan Senate chamber],
2.0,TAL'AURA,"If you will excuse me, Praetor, I have an appointment with the Tholian ambassador.",[Romulan Senate chamber],
2.0,HIREN,"Of course. ...Senators, are there any others who wish to speak? ...Then I call for a vote on the motion to open trade negotiations with Celles Two.",[Romulan Senate chamber],(the two commanders leave)
2.0,,,[Romulan Senate chamber],
2.0,HIREN (OC),As you know the Reman mines have not been filling their quotas for months now. I hope you will all bear in mind the trade committee's findings.,[Romulan Senate chamber],
2.0,,,[Romulan Senate chamber],(the red box begins to open)
2.0,HIREN,As much as we don't want...,[Romulan Senate chamber],
2.0,,,[Romulan Senate chamber],(a green spiralling double-helix column of light rises from the open red box)
2.0,HIREN,Would someone alert security? Bring back Senator Tal'aura.,[Romulan Senate chamber],
2.0,,,[Romulan Senate chamber],"(as everybody present watches, transfixed, the column explodes, raining dust down on them. The red box closes)"
3.0,,,[Earth - Alaska pavilion],
3.0,PICARD,"Duty. ...A starship captain's life is filled with solemn duty. I have commanded men in battle. I have negotiated peace treaties between implacable enemies. I have represented the Federation in first contact with twenty-seven alien species, but none of this compares to my solemn duty today ...as best man. Now, I know that on an occasion such as this it is expected that I be gracious and fulsome in my praise on the wonders of this blessed union. But have you two considered what you are doing to me? Of course you're happy, but what about my needs? This is all a damned inconvenience, and while you're happily settling in on the Titan, I will be training my new first officer. You all know him. He's a tyrannical martinet who'll never, ever allow me to go on away missions!",[Earth - Alaska pavilion],(everybody in the chamber shrivels to rocks and dust)
3.0,DATA,"That is the regulation, sir. Starfleet Code. Section twelve. Paragraph four...",[Earth - Alaska pavilion],
3.0,PICARD,Data!,[Earth - Alaska pavilion],
3.0,DATA,Sir?,[Earth - Alaska pavilion],
3.0,PICARD,Shut up.,[Earth - Alaska pavilion],
3.0,DATA,Yes sir.,[Earth - Alaska pavilion],
3.0,,,[Earth - Alaska pavilion],
3.0,PICARD,Fifteen years I've been waiting to say that!,[Earth - Alaska pavilion],
3.0,,,[Earth - Alaska pavilion],(general laughter)
3.0,PICARD,"No, seriously, Will, Deanna, there's still time to reconsider. ...Yes?",[Earth - Alaska pavilion],
3.0,RIKER/TROI,No.,[Earth - Alaska pavilion],(more laughter)
3.0,PICARD,"No? Oh very well then. ...Will Riker, you have been my trusted right arm for fifteen years. You have kept my course true and steady. ...Deanna Troi, you've been my guide ...and my conscience. You have helped me recognise the better parts of myself. You are my family. ...And in best maritime tradition ...I wish you both clear horizons. ...My good friends, ...make it so. ...The bride and groom.",[Earth - Alaska pavilion],
3.0,ALL,The bride and groom.,[Earth - Alaska pavilion],
3.0,,,[Earth - Alaska pavilion],
3.0,LAFORGE,Did you ever think about getting married again?,[Earth - Alaska pavilion],
3.0,GUINAN,"No, twenty-three was my limit. ...Worf? Are you all right?",[Earth - Alaska pavilion],(the band starts playing and dancing starts)
3.0,WORF,Romulan ale should be illegal.,[Earth - Alaska pavilion],
3.0,LAFORGE,It is.,[Earth - Alaska pavilion],
3.0,TROI,That was a lovely toast.,[Earth - Alaska pavilion],
3.0,PICARD,It was from the heart.,[Earth - Alaska pavilion],
3.0,TROI,And you needn't worry. I'm going to brief your new counselor on everything she needs to know.,[Earth - Alaska pavilion],
3.0,PICARD,"Like I know you are! You already know too much about me, ...but I take it there will be no speeches during the ceremony on Betazed?",[Earth - Alaska pavilion],
3.0,RIKER,"No, no speeches and ...no clothes.",[Earth - Alaska pavilion],
3.0,DATA,"Ladies and Gentlemen and invited transgendered species. In my study of Terran and Betazoid conjugal rites I have discovered it is traditional to present the happy couple with a gift. Given Commander Riker's affection for archaic musical forms I have elected to present the following as my gift, in honour of ...their conjugation.",[Earth - Alaska pavilion],
3.0,DATA,'Never saw the sun shining so bright. Never saw things going so right. Noticing the days hurrying by.',[Earth - Alaska pavilion],
3.0,,,[Earth - Alaska pavilion],
3.0,DATA,"'When you're in love, my how they fly. Blue skies, smiling at me,'",[Earth - Alaska pavilion],
3.0,WORF,...Irving Berlin!,[Earth - Alaska pavilion],(the band comes in)
3.0,DATA,'Nothing but blue skies do I see...',[Earth - Alaska pavilion],
4.0,,,[Enterprise-E bridge],
4.0,TROI,"It's tradition, Worf! You of all people should appreciate that.",[Enterprise-E bridge],
4.0,WORF,I will not do it!,[Enterprise-E bridge],
4.0,PICARD,"Won't do what, Mister Worf?",[Enterprise-E bridge],
4.0,WORF,"Captain, I do not think it is appropriate for a Starfleet officer to appear ...naked.",[Enterprise-E bridge],
4.0,PICARD,"Oh, come now! A big, handsome, strapping fellow like you? What can you be afraid of?",[Enterprise-E bridge],
4.0,,,[Enterprise-E bridge],
4.0,WORF,"Captain, I am picking up an unusual electromagnetic signature from the Kolarin system.",[Enterprise-E bridge],
4.0,PICARD,What sort of signature?,[Enterprise-E bridge],(Worf's console bleeps)
4.0,WORF,Positronic.,[Enterprise-E bridge],
4.0,LAFORGE,It's very faint but I've isolated it to the third planet in the Kolarin system.,[Enterprise-E bridge],
4.0,PICARD,What do we know about it?,[Enterprise-E bridge],
4.0,LAFORGE,Uncharted. We'll have to get closer for a more detailed scan.,[Enterprise-E bridge],
4.0,PICARD,Theories?,[Enterprise-E bridge],
4.0,DATA,"Since positronic signatures have only been known to emanate from androids such as myself, it is logical to theorise there is an android on Kolarus Three.",[Enterprise-E bridge],
4.0,PICARD (OC),Just what I was afraid of.,[Enterprise-E bridge],
4.0,RIKER,"Captain, diverting to the Kolarin system takes us awfully close to the Romulan Neutral Zone.",[Enterprise-E bridge],
4.0,PICARD,"It's still well on our side. I think... I think it's worth taking a look. Don't worry, Number One, we'll still have you to Betazed with plenty of time to spare...",[Enterprise-E bridge],
4.0,RIKER,"Thank you, sir.",[Enterprise-E bridge],
4.0,PICARD,"...where we will all honour the Betazoid tradition. ...Now, if you'll excuse me, ...I'll be in the gym.",[Enterprise-E bridge],
4.0,RIKER,"Mister Branson, lay in a course for the Kolarin system. Warp five.",[Enterprise-E bridge],
4.0,LAFORGE,"What do you think, Data? ...A long-lost relative?",[Enterprise-E bridge],
4.0,,,[Enterprise-E bridge],
4.0,LAFORGE,"I'm reading six distinct positronic signatures, spread out over a few kilometres on the planet's surface.",[Enterprise-E bridge],
4.0,PICARD,What do we know about the population of Kolarus Three?,[Enterprise-E bridge],(the Enterprise arrives in orbit above Kolarus III)
4.0,DATA,Isolated pockets of humanoids. It appears to be a pre-warp civilisation in an early stage of industrial development.,[Enterprise-E bridge],
4.0,LAFORGE,"Captain, I wouldn't recommend using the transporter. That ion storm doesn't look very neighbourly. It could head in our direction without much warning.",[Enterprise-E bridge],
4.0,PICARD,"Understood. ...Data, Mister Worf, you're with me.",[Enterprise-E bridge],
4.0,RIKER,"Captain, I don't have to remind you....",[Enterprise-E bridge],
4.0,PICARD,"I appreciate your concern, Number One, but I've been itching to try the Argo.",[Enterprise-E bridge],
4.0,RIKER,I'll bet.,[Enterprise-E bridge],
4.0,PICARD,Captain's prerogative. There's no foreseeable danger ...and your wife would never forgive me if anything were to happen to you.,[Enterprise-E bridge],
4.0,PICARD,"You have the bridge, ...Mister Troi!",[Enterprise-E bridge],
4.0,,,[Enterprise-E bridge],
5.0,,,[Kolarus III surface],
5.0,,,[Kolarus III surface],(the Argo shuttlecraft heads for the surface of Kolarus III)
5.0,DATA,I will always be puzzled by the human predilection for piloting vehicles at unsafe velocities.,[Kolarus III surface],
5.0,DATA,"Over that rise, sir, ...half a kilometre.",[Kolarus III surface],(when the Argo lands the rear door drops down and a 'dune-buggy' shoots out with Picard at the wheel)
5.0,,,[Kolarus III surface],
5.0,DATA,"The radiant electromagnetic field is interfering with my tricorder, but we are within a few metres of the signal.",[Kolarus III surface],
5.0,PICARD,Fan out. Let's search around.,[Kolarus III surface],(Picard parks the vehicle and they get out)
5.0,,,[Kolarus III surface],
5.0,DATA,It appears to be a robotic arm.,[Kolarus III surface],
5.0,WORF,Very astute!,[Kolarus III surface],(a hand comes out of the sand and grabs Worf's leg)
5.0,PICARD,"Mister Worf, bring it to the vehicle.",[Kolarus III surface],
5.0,,,[Kolarus III surface],
5.0,PICARD,This doesn't feel right.,[Kolarus III surface],
5.0,,,[Kolarus III surface],"(they continue to search for the other positronic signatures, finding a leg and a torso)"
5.0,DATA,"The final signature is approximately one hundred metres to the north, sir.",[Kolarus III surface],
5.0,,,[Kolarus III surface],(the search continues)
5.0,WORF,it's you!,[Kolarus III surface],
5.0,DATA,The resemblance is ...striking.,[Kolarus III surface],(they arrive at the location and find an android's head lying on the ground)
5.0,,,[Kolarus III surface],
5.0,DATA,Fascinating! Fascinating!,[Kolarus III surface],
5.0,,,[Kolarus III surface],(the head's eyes flicker and Data picks it up)
5.0,PICARD,To the vehicle! ...I think it's time to try some unsafe velocities!,[Kolarus III surface],
5.0,B-4 HEAD,Why do you have a shiny head?,[Kolarus III surface],(they are disturbed by weapons fire from a group 'dune-buggies' coming over the hill)
5.0,DATA,This is not the appropriate time for a conversation.,[Kolarus III surface],
5.0,B-4 HEAD,Why?,[Kolarus III surface],
5.0,DATA,Because the Captain has to concentrate on piloting the vehicle.,[Kolarus III surface],
5.0,B-4 HEAD,Why?,[Kolarus III surface],
5.0,DATA,Because...,[Kolarus III surface],
5.0,PICARD,Data!,[Kolarus III surface],
5.0,DATA,Sorry sir.,[Kolarus III surface],
5.0,,,[Kolarus III surface],
5.0,B-4 HEAD,Have I said something wrong?,[Kolarus III surface],
5.0,,,[Kolarus III surface],(Data puts down the head)
5.0,PICARD,Data.,[Kolarus III surface],
5.0,,,[Kolarus III surface],(local inhabitants are swarming around the Argo. Data uses a remote control to launch it. The pursuit continues)
6.0,,,[Enterprise-E engineering laboratory],
6.0,CRUSHER,"You know, all things considered, Data, I think you have nicer eyes.",[Enterprise-E engineering laboratory],(Data brings the Argo ahead of the 'dune-buggy' and gets it hover beyond a precipice. The 'dune-buggy' flies off the precipice and back into the Argo. The pursuers stop on the precipice and reveal themselves to be Reman)
6.0,DATA,"Our eyes are identical, Doctor.",[Enterprise-E engineering laboratory],
6.0,RIKER,"So what have we got, Geordi?",[Enterprise-E engineering laboratory],
6.0,LAFORGE,"Well, I'd say he has the same internal mechanics as Data but not as much positronic development. The neural pathways aren't nearly as sophisticated. I'd say he's a ...prototype. Something Doctor Soong created prior to Data.",[Enterprise-E engineering laboratory],
6.0,DATA,"Do you have a name, sir?",[Enterprise-E engineering laboratory],
6.0,B-4 HEAD,I am ...B-4.,[Enterprise-E engineering laboratory],
6.0,PICARD,Be-four? Doctor Soong's penchant for whimsical names seems to have no end.,[Enterprise-E engineering laboratory],
6.0,DATA,Can you tell us how you came to be on the planet where we found you?,[Enterprise-E engineering laboratory],
6.0,B-4 HEAD,I do not know.,[Enterprise-E engineering laboratory],
6.0,DATA,Do you remember anything of your life before you were on the planet?,[Enterprise-E engineering laboratory],
6.0,B-4 HEAD,No. Why does the tall man have a furry face?,[Enterprise-E engineering laboratory],
6.0,PICARD,"Number One, keep me informed, and ...Geordi reassemble him.",[Enterprise-E engineering laboratory],
6.0,LAFORGE,Aye sir.,[Enterprise-E engineering laboratory],
6.0,DATA,"B-4, Do you know who I am?",[Enterprise-E engineering laboratory],
6.0,B-4 HEAD,You are me.,[Enterprise-E engineering laboratory],
6.0,DATA,No. My name is Data. I am your brother.,[Enterprise-E engineering laboratory],
6.0,,,[Enterprise-E engineering laboratory],
7.0,,,[Enterprise-E ready room],
7.0,PICARD,"Tea, Earl Grey, hot.",[Enterprise-E ready room],
7.0,RIKER (on intercom),"Captain, you have an alpha priority communication from Starfleet Command.",[Enterprise-E ready room],
7.0,PICARD,Acknowledged.,[Enterprise-E ready room],
7.0,PICARD,Admiral Janeway. How good to see you again.,[Enterprise-E ready room],
7.0,JANEWAY (on viewscreen),"Jean Luc, ...how'd you like a trip to Romulus?",[Enterprise-E ready room],
7.0,PICARD,With or without the rest of the fleet?,[Enterprise-E ready room],
7.0,JANEWAY (OC),"A diplomatic mission. We've been invited, believe it or not.",[Enterprise-E ready room],
7.0,JANEWAY (on viewscreen),"It seems there's been some kind of internal political shake-up. The new Praetor, someone called Shinzon,...",[Enterprise-E ready room],
7.0,JANEWAY (OC),...has requested a Federation envoy.,[Enterprise-E ready room],
7.0,PICARD,New Praetor?,[Enterprise-E ready room],
7.0,JANEWAY (on viewscreen),There's more. ...He's Reman.,[Enterprise-E ready room],
7.0,JANEWAY (OC),"Believe me, we don't understand it either.",[Enterprise-E ready room],
7.0,JANEWAY (on viewscreen),"Your'e the closest ship so I want you to go and hear what he has to say. Get the lay of the land, If the Empire becomes unstable,...",[Enterprise-E ready room],
7.0,JANEWAY (OC),...it could mean trouble for the entire Quadrant.,[Enterprise-E ready room],
7.0,PICARD,Understood.,[Enterprise-E ready room],
7.0,JANEWAY (OC),"We're sending you all the intelligence we have,...",[Enterprise-E ready room],
7.0,JANEWAY (on viewscreen),"...but it's not much. I don't need to tell you to watch your back, Jean Luc.",[Enterprise-E ready room],
7.0,PICARD,Hardly.,[Enterprise-E ready room],
7.0,JANEWAY (on viewscreen),"The Son'a, the Borg,...",[Enterprise-E ready room],
7.0,JANEWAY (OC),...the Romulans. ...You seem to get all the easy assignments!,[Enterprise-E ready room],
7.0,PICARD,"Just lucky, Admiral.",[Enterprise-E ready room],
7.0,JANEWAY (OC),Let's hope...,[Enterprise-E ready room],
7.0,JANEWAY (on viewscreen),...that luck holds. Janeway out.,[Enterprise-E ready room],
8.0,,,[Enterprise-E bridge],
8.0,PICARD,"Helmsman, lay in a new course. Take us to Romulus. Warp eight.",[Enterprise-E bridge],
8.0,HELM OFFICER,"Aye aye, sir. Course plotted and laid in.",[Enterprise-E bridge],
8.0,RIKER,Romulus?,[Enterprise-E bridge],
8.0,PICARD,"I'm afraid the Opal Sea will have to wait, Number One. Engage.",[Enterprise-E bridge],
9.0,,,[Enterprise-E observation lounge],
9.0,DATA,"As you can see one side of Remus always faces the sun. Due to the extreme temperatures on that half of their world, the Remans live on the dark side of the planet. ...Almost nothing is known about the Reman homeworld, although intelligence scans have proven the existence of dilithium mining and heavy weapons construction. ...The Remans themselves are considered an undesirable caste in the hierarchy of the Empire.",[Enterprise-E observation lounge],
9.0,RIKER,"But they also have the reputation of being formidable warriors. In the Dominion War, Reman troops were used as assault forces in the most violent encounters.",[Enterprise-E observation lounge],
9.0,PICARD,Cannon fodder.,[Enterprise-E observation lounge],
9.0,LAFORGE,"Yeah, but how did a Reman get to be Praetor? I don't get it.",[Enterprise-E observation lounge],
9.0,RIKER,We have to assume Romulan collaborators.,[Enterprise-E observation lounge],
9.0,PICARD,Coup d'Ã©tat?,[Enterprise-E observation lounge],
9.0,RIKER,The Praetor's power's always been the Romulan fleet. They must be behind Shinzon for him to have overthrown the Senate.,[Enterprise-E observation lounge],
9.0,PICARD,What have you learned about Shinzon?,[Enterprise-E observation lounge],
9.0,DATA,"Starfleet intelligence was only able to provide a partial account of his military record. We can infer he is relatively young and a capable commander. He fought twelve major engagements in the war. All successful. Beyond that, we know nothing.",[Enterprise-E observation lounge],
9.0,PICARD,"Well, ...it seems as though we're truly sailing into the unknown. Keep at it. Anything you can give me will be appreciated. Dismissed.",[Enterprise-E observation lounge],
10.0,,,[Enterprise-E engineering laboratory],
10.0,LAFORGE,I still can't believe the Captain went along with a memory download.,[Enterprise-E engineering laboratory],
10.0,DATA,"Captain Picard agrees that the B-4 was probably designed with the same self-actualisation parameters as myself. If my memory engrams are successfully integrated into his positronic matrix, he should have all my abilities.",[Enterprise-E engineering laboratory],
10.0,LAFORGE (OC),"Yes, but he would have all your memories as well. Do you feel comfortable with that?",[Enterprise-E engineering laboratory],
10.0,DATA,"I feel nothing, Geordi. It is my belief that with my memory engrams he will be able to function as a more complete individual.",[Enterprise-E engineering laboratory],
10.0,LAFORGE,"An individual more like you, you mean.",[Enterprise-E engineering laboratory],
10.0,DATA,Yes.,[Enterprise-E engineering laboratory],
10.0,LAFORGE,"Maybe he's not supposed to be like you, Data. Maybe he's supposed to be exactly the way he is.",[Enterprise-E engineering laboratory],
10.0,DATA,"That might be so, but I believe he should have the opportunity to explore his potential.",[Enterprise-E engineering laboratory],
10.0,LAFORGE,Okay ...we're done.,[Enterprise-E engineering laboratory],
10.0,DATA,"B-4, do you know where you are?",[Enterprise-E engineering laboratory],
10.0,B-4,I am in a room ...with lights.,[Enterprise-E engineering laboratory],
10.0,DATA,Can you remember ...our father?,[Enterprise-E engineering laboratory],
10.0,B-4,Our father?,[Enterprise-E engineering laboratory],
10.0,DATA,"Yes, Doctor Soong.",[Enterprise-E engineering laboratory],
10.0,B-4,No.,[Enterprise-E engineering laboratory],
10.0,DATA,Do you know the name of the Captain of this vessel?,[Enterprise-E engineering laboratory],
10.0,B-4,Captain? ...No.,[Enterprise-E engineering laboratory],
10.0,LAFORGE,"Data, he's assimilating a lot of programming. Remember, he's a prototype, a lot less sophisticated than you are. We just don't know if his matrix will be able to adapt. We really need to give him some time.",[Enterprise-E engineering laboratory],
10.0,DATA,"Geordi, what purpose does this serve?",[Enterprise-E engineering laboratory],
10.0,LAFORGE,What?,[Enterprise-E engineering laboratory],
10.0,DATA,This.,[Enterprise-E engineering laboratory],
10.0,LAFORGE,That's a redundant memory port. Maybe the provisional memory storage is in case his neural pathways overload? ...Do you mind if I keep him here for a while. ...Run a few diagnostics?,[Enterprise-E engineering laboratory],
10.0,DATA,"No, I do not mind.",[Enterprise-E engineering laboratory],
10.0,B-4,Data...,[Enterprise-E engineering laboratory],
10.0,DATA,No! You must remain with Commander La Forge. He is going to try to and help you.,[Enterprise-E engineering laboratory],
10.0,,,[Enterprise-E engineering laboratory],
11.0,,,[Enterprise-E bridge],
11.0,PICARD,Counselor?,[Enterprise-E bridge],"Captain's log, stardate 56844.9. The Enterprise has arrived at Romulus and is waiting at the designated coordinates. All our hails have gone unanswered. We've been waiting for seventeen hours."
11.0,TROI,"They're out there, sir.",[Enterprise-E bridge],
11.0,WORF,"Captain, I recommend we raise shields.",[Enterprise-E bridge],
11.0,PICARD,"Not yet, Mister Worf.",[Enterprise-E bridge],
11.0,RIKER,"Captain, with all due respect to diplomatic protocol, ...the Federation Council isn't sitting out here, we are.",[Enterprise-E bridge],
11.0,PICARD,Patience. Diplomacy is a very exacting occupation. We will wait.,[Enterprise-E bridge],
11.0,DATA,Captain.,[Enterprise-E bridge],
11.0,,,[Enterprise-E bridge],
11.0,WORF,Raising shields.,[Enterprise-E bridge],
11.0,PICARD,No!,[Enterprise-E bridge],"(on the viewscreen the Scimitar, Shinzon's warbird, is seen to decloak)"
11.0,WORF,Captain!,[Enterprise-E bridge],
11.0,PICARD,"Tactical analysis, Mister Worf.",[Enterprise-E bridge],
11.0,WORF,"Fifty-two disruptor banks, twenty-seven photon torpedo bays, primary and secondary shields.",[Enterprise-E bridge],
11.0,PICARD,She's a predator.,[Enterprise-E bridge],
11.0,WORF,We are being hailed.,[Enterprise-E bridge],
11.0,PICARD,On screen.,[Enterprise-E bridge],
11.0,VICEROY (on viewscreen),"Enterprise. We ...are the Reman warbird, Scimitar.",[Enterprise-E bridge],
11.0,PICARD,"Praetor Shinzon, I am pleased to...",[Enterprise-E bridge],
11.0,VICEROY (on viewscreen),I am not Shinzon. I am his Viceroy. We are sending transport coordinates.,[Enterprise-E bridge],
11.0,RIKER,Not very chatty.,[Enterprise-E bridge],
11.0,PICARD,Away team to transporter room four.,[Enterprise-E bridge],
12.0,,,[Scimitar - Praetor's chamber],
12.0,SHINZON (OC),I hope you'll forgive the darkness. ...We're not comfortable in the light.,[Scimitar - Praetor's chamber],
12.0,PICARD,Praetor Shinzon?,[Scimitar - Praetor's chamber],
12.0,SHINZON,"Captain Picard. ...Jean Luc Picard. ...I'd always imagined you taller. Isn't that odd? ...You may scan me without subterfuge, Commander Data.",[Scimitar - Praetor's chamber],
12.0,PICARD,You are not as we imagined you.,[Scimitar - Praetor's chamber],
12.0,SHINZON,No?,[Scimitar - Praetor's chamber],
12.0,WORF,You are human.,[Scimitar - Praetor's chamber],
12.0,PICARD (OC),Why have you asked us to come here?,[Scimitar - Praetor's chamber],
12.0,PICARD,Praetor?,[Scimitar - Praetor's chamber],
12.0,SHINZON,I have never met a human woman.,[Scimitar - Praetor's chamber],
12.0,TROI,I'm only half human.,[Scimitar - Praetor's chamber],
12.0,SHINZON,"Deanna Troi, ...of Betazed. Empathic, telepathic abilities, ship's counselor. All this I knew. But I didn't know you were so ...beautiful.",[Scimitar - Praetor's chamber],
12.0,RIKER,You seem quite familiar with our personnel.,[Scimitar - Praetor's chamber],
12.0,SHINZON,"Oh I am, Commander Riker. ...May I touch your hair?",[Scimitar - Praetor's chamber],
12.0,PICARD,"We came to Romulus on a matter we were assured was of great importance. If you have anything to say to us as representatives of the Federation, I suggest you do it now.",[Scimitar - Praetor's chamber],
12.0,SHINZON,"Yes, I'm sorry, Captain. There is so much we need to talk about.",[Scimitar - Praetor's chamber],
12.0,PICARD,I would be interested to know what we're talking about.,[Scimitar - Praetor's chamber],
12.0,SHINZON,"Unity, Captain! ...Tearing down the walls between us to recognise that we are one. ...I'm talking of the thing that makes us the same. ...Peace. We want peace. ...Right now, you're thinking this all sounds too good to be true? But you're also thinking that the chance of peace is too promising to ignore. ...Am I right?",[Scimitar - Praetor's chamber],
12.0,PICARD,Yes.,[Scimitar - Praetor's chamber],
12.0,SHINZON,Then perhaps it's time to add some illumination into our discussion. Computer. Raise the lighting four levels.,[Scimitar - Praetor's chamber],
12.0,,,[Scimitar - Praetor's chamber],
